address,is_cairo
حدائق الزيتون,1
الشروق,1
المرج,1
المعادي دجلة,1
العباسية,1
النزهة الجديدة,1
دار السلام,1
القلعة,1
البساتين,1
عبده باشا,1
مدينة ناصر,1
مدينة 15 مايو,1
التجمع الخامس,1
مصر الجديدة,1
التجمع الثالث,1
عزبة النخل,1
قطامية,1
الحرفيين,1
مدينة 15 مايو,1
وسط البلد,1
المرج,1
المعادى الجديدة,1
الزمالك,1
التجمع الاول,1
حلوان,1
الزيتون,1
مساكن شيراتون,1
حدائق حلوان,1
غمره,1
روض الفرج,1
المطرية,1
القصر العيني,1
القاهرة,1
القاهرة الجديدة,1
عين شمس,1
جاردن سيتي,1
ميراج سيتى,1
العامرية,1
الأزهر,1
السيدة زينب,1
الماظة,1
الفسطاط,1
حدائق المعادي,1
الرحاب,1
الموسكي,1
منيل الروضة,1
المعادى,1
التحرير,1
نيو المرج,1
جسر السويس,1
عابدين,1
المقطم,1
مدينة السلام,1
مصر القديمة,1
حلمية الزيتون,1
الضاهر,1
حدائق القبة,1
شبرا,1
كورنيش النيل,1
مدينة بدر,1
رمسيس,1
مدينتي,1
الحلمية,1
السادس من اكتوبر,1
المنصورية,1
الحوامدية,1
تيرسا,1
ابو رواش,1
العمرانية,1
القرية الذكية,1
كرداسة,1
صفط اللبن,1
الدقي,1
الصف,1
الشيخ زايد,1
ساقية مكي,1
المهندسين,1
الكوم الأحمر,1
إمبابة,1
بولاق الدكرور,1
المنيب,1
برك الكيام,1
المعتمدية,1
شبرامانت,1
الوراق,1
الجيزة,1
المنيل,1
الهرم,1
العجوزة,1
قسم الجيزة,1
فيصل,1
الواحات,1
حدائق الاهرام,1
السادس من اكتوبر,1
أوسيم,1
النوبارية,1
بدراشين,1
كت كات,1
البراجيل,0
المناشي,0
ميامي,0
سموحة,0
أبيس,0
الإسكندرية,0
سيدي جابر,0
البرج القديم,0
سيدي بشر,0
البيطاش,0
ستانلي,0
العجمي,0
سان ستيفانو,0
محطة الرمل,0
العامرية,0
بنجر السكر,0
المنشية,0
سيدي كرير,0
كفر عبده,0
برج العرب,0
رشدي,0
ابو قير,0
جليم,0
النهضة العامرية,0
عويد راس سودا,0
المندرة,0
وسط المدينة,0
أزاريتا,0
المعمورة,0
السيوف,0
سبورتنج,0
خورشيد,0
لوران,0
العصافرة,0
زيزينيا,0
المنتزه,0
حوش عيسى,0
رشيد,0
شبراخيت,0
إدكو,0
دمنهور,0
ايتاي البارود,0
البحيرة,0
ابو حمص,0
كوم حمادة,0
ابو المطامير,0
الدلنجات,0
النوبارية,0
كفر الدوار,0
إدفينا,0
وادي النطرون,0
المحمودية,0
الرحمانية,0
ميت غمر,0
بلقاس,0
نابرو,0
المنزلة,0
شربين,0
الدقهلية,0
السنبلاوين,0
منية النصر,0
دكرنس,0
آغا,0
طلخا,0
المنصورة,0
سنورس,0
إبشواي,0
كفور النيل,0
الفيوم الجديدة,0
اطسا,0
سنهور,0
طامية,0
الفيوم,0
سيرسينا,0
العجمين,0
منشاء عبد الله,0
يوسف صادق,0
منشأة الجمال,0
السنطة,0
المحلة الكبرى,0
الغربية,0
سمنود,0
طنطا,0
قطور,0
زفتى,0
بسيون,0
كفر الزيات,0
المنيا,0
سمالوط,0
العدوة,0
مغاغة,0
مطاى,0
ملاوي,0
بني مزار,0
ديرماس,0
ابو قرقاص,0
الشهداء,0
منوف,0
تلا,0
شبين الكوم,0
مدينة السادات,0
المنوفية,0
قويسنا,0
بركة السبع,0
أشمون,0
الصالحية الجديدة,0
ابو حماد,0
ابو كبير,0
ههيا,0
اولاد صقر,0
الحسينية,0
فاقوس,0
درب نجم,0
الابراهيمية,0
الزقازيق,0
كفر صقر,0
مشتول السوق,0
بيلبيس,0
منيا القمه,0
الشرقية,0
العاشر من رمضان,0
أسوان,0
دراو,0
كلابشة,0
السد العالي,0
أبو سمبل,0
نصر النوبة,0
إدفو,0
مركز ناصر,0
كوم امبو,0
ديروط,0
أسيوط,0
القوصية,0
اسيوط الجديدة,0
الفتح,0
الغنايم,0
ساحل سليم,0
أبنوب,0
البدارى,0
ابو تيج,0
سيرفا,0
منفلوط,0
بني سويف,0
الواسطى,0
الكريمات,0
الفشن,0
ناصر,0
إهناسيا,0
بني سويف الجديدة,0
ببا,0
سمسطا,0
كفر سعد,0
رأس البر,0
فارسكور,0
الزرقا,0
دمياط,0
دمياط الجديدة,0
الصالحية الجديدة,0
القصاصين,0
ابو سلطان,0
التل الكبير,0
ابو صوير,0
قنطرة غرب,0
القنطرة شرق,0
نفيشة,0
الإسماعيلية,0
سرابيوم,0
فايد,0
الحامول,0
كفر الشيخ,0
الرياض,0
قلين,0
دسوق,0
سيدى سالم,0
بيلا,0
فوه,0
مطوبس,0
برج البرلس,0
بلطيم,0
الكرنك,0
القرنة,0
ارمنت شرق,0
اسنا,0
الأقصر,0
ارمنت غرب,0
مطروح,0
العلمين,0
سيدي عبد الرحمن,0
الضبعة,0
مرسى مطروح,0
الخارجة,0
الوادي الجديد,0
بور فؤاد,0
بورسعيد,0
حي الزهور,0
ابو زعبل,0
قها,0
طوخ,0
العبور,0
ميت نما,0
الشريعة الجديد,0
بنها,0
القناطر الخيرية,0
شبين القناطر,0
القلج,0
بهتيم,0
القليوبية,0
عرابي,0
قليوب,0
الخانكة,0
الخصوص,0
كفر شكر,0
أم بيومي,0
شبرا الخيمة,0
مسطرد,0
دشنا,0
ابوتشت,0
فرشوط,0
قنا,0
قوص,0
نقادة,0
نجع حمادي,0
البحر الاحمر,0
سفاجا,0
الغردقة,0
القصير,0
مرسى علم,0
الجونة,0
رأس غارب,0
سوهاج,0
طما,0
ساقلته,0
دار السلام,0
جرجا,0
البالينا,0
مراغة,0
المنشاه,0
جهينة,0
أخميم,0
طهطا,0
حي عتاقة,0
السويس,0
حي الجناين,0
السويس,0
الأدبية,0
العين السخنة,0
حى الاربعين,0
شمال سيناء,0
العريش,0
نويبع,0
دهب,0
سانت كاترين,0
شرم الشيخ,0
طور سيناء,0
طابا,0